position error,pose error,loss
0.000,88.630,88.630
0.000,88.560,88.560
0.002,87.506,87.508
0.000,88.813,88.813
0.001,88.033,88.034
0.003,88.336,88.340
0.000,88.253,88.254
0.001,88.375,88.376
0.002,89.733,89.735
0.003,89.117,89.120
0.005,88.698,88.702
0.001,89.128,89.129
0.002,89.433,89.435
0.001,88.370,88.371
