position accuracy,pose accuracy,position loss,pose loss,loss, running_loss
0.002,0.073,0.999,4.240,5.239, 5.204327345725715
0.000,0.000,2.041,6.008,1.341
0.000,0.075,0.748,4.256,5.004, 5.084015435753507
0.000,0.087,0.791,4.427,0.870
0.000,0.000,1.791,5.998,1.298
0.000,0.090,0.790,4.420,5.210, 5.087350936115536
0.000,0.084,0.895,4.399,0.882
0.000,0.000,2.165,6.015,1.363
0.000,0.075,0.800,4.502,5.302, 5.083618531167258
0.000,0.082,0.916,4.402,0.886
0.000,0.000,2.097,6.020,1.353
0.000,0.077,0.762,4.025,4.787, 5.087311838793788
0.000,0.080,0.920,4.448,0.895
0.000,0.000,2.215,5.984,1.367
0.002,0.108,0.784,4.019,4.802, 5.0861811890595465
0.001,0.082,0.913,4.421,0.889
0.000,0.000,1.518,6.049,1.261
0.002,0.062,0.768,4.344,5.112, 5.085651187384644
0.000,0.082,0.886,4.432,0.886
0.000,0.000,2.114,6.013,1.355
0.000,0.093,0.736,4.368,5.105, 5.085968131965839
0.000,0.083,0.889,4.441,0.888
0.000,0.000,1.918,5.998,1.319
0.000,0.070,0.775,4.354,5.129, 5.0852656035243715
0.001,0.083,0.840,4.415,0.876
0.000,0.000,1.730,6.016,1.291
0.002,0.072,0.745,4.239,4.984, 5.086670295297684
0.000,0.085,0.901,4.423,0.887
0.000,0.000,2.202,6.005,1.368
0.002,0.083,0.743,4.480,5.223, 5.088015284332105
0.001,0.080,0.836,4.448,0.881
0.000,0.000,2.257,6.001,1.376
0.000,0.073,0.744,4.481,5.224, 5.087693881622751
0.001,0.085,0.825,4.418,0.874
0.000,0.000,1.808,5.993,1.300
0.000,0.062,0.753,4.551,5.303, 5.086342931126285
0.000,0.084,0.887,4.426,0.886
0.000,0.000,1.861,5.983,1.307
0.000,0.080,0.756,4.312,5.068, 5.0864281559589015
0.001,0.088,0.832,4.400,0.872
0.000,0.000,1.944,6.005,1.325
0.000,0.075,0.762,4.342,5.103, 5.085666451494065
0.000,0.080,0.915,4.460,0.896
0.000,0.000,1.787,6.017,1.301
0.000,0.087,0.784,4.423,5.207, 5.085154532056141
0.000,0.085,0.910,4.403,0.885
0.000,0.000,1.885,5.978,1.310
0.000,0.077,0.725,4.074,4.799, 5.087320564348495
0.000,0.082,0.797,4.444,0.873
0.000,0.000,1.714,5.991,1.284
0.000,0.055,0.751,4.833,5.585, 5.086258285547733
0.001,0.082,0.860,4.404,0.877
0.000,0.000,2.068,5.990,1.343
0.000,0.070,0.756,4.208,4.964, 5.085251890964588
0.000,0.088,0.877,4.427,0.884
0.000,0.000,1.510,5.998,1.251
0.000,0.075,0.796,4.521,5.317, 5.085947661719063
0.001,0.080,0.866,4.455,0.887
0.000,0.000,2.106,5.985,1.349
0.000,0.083,0.734,4.343,5.077, 5.084896605051378
0.000,0.083,0.869,4.421,0.882
0.000,0.000,2.197,6.004,1.367
0.000,0.080,0.800,4.518,5.318, 5.085490870509021
0.000,0.080,0.864,4.416,0.880
0.000,0.000,1.797,6.004,1.300
0.003,0.072,0.727,4.539,5.266, 5.0852535409408635
0.001,0.082,0.864,4.445,0.885
0.000,0.000,2.038,6.021,1.343
0.000,0.097,0.729,4.308,5.037, 5.086302908893409
0.001,0.089,0.809,4.430,0.873
0.000,0.000,1.768,6.015,1.297
0.000,0.090,0.762,4.384,5.145, 5.085436234746851
0.000,0.082,0.956,4.424,0.897
0.000,0.000,2.173,6.006,1.363
0.000,0.082,0.726,4.656,5.382, 5.086328572309167
0.000,0.081,0.870,4.467,0.890
0.000,0.000,1.250,5.997,1.208
0.000,0.083,0.759,4.493,5.252, 5.084869296647183
0.000,0.078,0.894,4.436,0.888
0.000,0.000,1.800,6.028,1.305
0.002,0.077,0.782,4.413,5.195, 5.086674244832793
0.001,0.082,0.834,4.443,0.880
0.000,0.000,2.263,6.012,1.379
0.000,0.073,0.792,4.555,5.347, 5.08613874007801
0.000,0.081,0.836,4.429,0.878
0.000,0.000,1.876,5.996,1.312
0.000,0.067,0.776,4.243,5.019, 5.084842665591167
0.000,0.082,0.906,4.445,0.892
0.000,0.000,2.376,6.019,1.399
0.002,0.068,0.721,4.071,4.791, 5.086205655893355
0.001,0.084,0.938,4.373,0.885
0.000,0.000,1.699,6.000,1.283
0.003,0.085,0.725,4.292,5.017, 5.086962142250029
0.001,0.084,0.854,4.452,0.884
0.000,0.000,1.910,6.017,1.321
0.000,0.093,0.724,4.218,4.942, 5.0844389235125425
0.000,0.083,0.826,4.429,0.876
0.000,0.000,1.710,6.032,1.290
0.000,0.080,0.744,4.148,4.892, 5.086202250531195
0.000,0.084,0.850,4.390,0.873
0.000,0.000,1.870,6.014,1.314
0.000,0.093,0.815,4.481,5.296, 5.084579723316922
0.000,0.080,0.825,4.460,0.881
0.000,0.000,1.901,6.012,1.319
0.000,0.090,0.740,4.231,4.971, 5.084677565712975
0.001,0.084,0.830,4.407,0.873
0.000,0.000,1.869,6.006,1.312
0.000,0.072,0.784,4.328,5.112, 5.087317139201251
0.000,0.083,0.922,4.385,0.885
0.000,0.000,2.765,5.980,1.458
0.000,0.080,0.764,4.116,4.880, 5.084857917896042
0.000,0.079,0.892,4.454,0.891
0.000,0.000,1.906,5.995,1.317
0.000,0.080,0.735,4.286,5.021, 5.08613183059453
0.001,0.084,0.819,4.434,0.876
0.000,0.000,1.642,6.005,1.275
