position accuracy,pose accuracy,position loss,pose loss,loss,running_loss
0.002,0.015,0.557,2.047,2.604,2.578
0.001,0.007,1.263,6.289,1.259,7.554
0,0,1.483,6.746,1.371,8.226
0.001,0.018,0.59,1.93,2.521,2.562
0,0.008,1.049,5.727,1.129,6.774
0,0,1.68,6.523,1.367,8.202
0.001,0.017,0.574,2.026,2.601,2.549
0,0.003,1.104,6.437,1.257,7.542
0,0,1.487,6.03,1.253,7.518
0,0.011,0.561,1.941,2.502,2.527
0,0.005,1.204,6.732,1.323,7.938
0,0,1.262,6.481,1.291,7.746
0.002,0.021,0.573,1.915,2.488,2.523
0,0.01,1.29,5.881,1.195,7.17
0,0,1.765,6.319,1.347,8.082
0.001,0.014,0.557,2.036,2.593,2.504
0,0.005,1.153,6.423,1.263,7.578
0,0,1.523,6.277,1.3,7.8
0,0.017,0.594,1.965,2.559,2.493
0,0.006,1.176,5.565,1.123,6.738
0,0,1.471,6.981,1.409,8.454
0,0.016,0.582,1.901,2.483,2.486
0,0.008,1.023,5.882,1.151,6.906
0,0,1.419,8.362,1.63,9.78
0.000,0.000,1.424,7.965,9.389
0.000,0.000,1.420,8.334,9.754
0.000,0.008,1.022,5.895,6.917
0.000,0.007,1.006,5.709,6.715
